cell_count,party_identification,color,county_fips,tract_ce,geo_id,longitude,latitude
2518,Independent,#FF5733 ,25,605,4025000605,-112.3503546,34.61181024
741,Independent,#FF5733 ,25,608,4025000608,-112.3144821,34.62880298
1334,Independent,#FF5733 ,25,500,4025000500,-112.397865,34.58104552
1549,Independent,#FF5733 ,25,1701,4025001701,-111.9229916,34.71313434
1157,Independent,#FF5733 ,25,1001,4025001001,-112.4937561,34.57366332
4288,Independent,#FF5733 ,25,1900,4025001900,-112.1530181,34.73698095
1055,Independent,#FF5733 ,25,1101,4025001101,-112.5239502,34.52680992
1497,Independent,#FF5733 ,25,1500,4025001500,-111.9076051,34.26198435
955,Independent,#FF5733 ,25,1102,4025001102,-112.5149104,34.49409394
1374,Independent,#FF5733 ,25,1603,4025001603,-111.8002086,34.62831064
1389,Independent,#FF5733 ,25,606,4025000606,-112.3306812,34.5935395
1288,Independent,#FF5733 ,25,402,4025000402,-112.4542317,34.57579706
634,Independent,#FF5733 ,25,1401,4025001401,-112.1420782,34.23621339
982,Independent,#FF5733 ,25,900,4025000900,-112.4665283,34.55167742
1566,Independent,#FF5733 ,25,204,4025000204,-112.6000115,34.93863067
2125,Independent,#FF5733 ,25,2004,4025002004,-112.0539456,34.69656719
1633,Independent,#FF5733 ,25,401,4025000401,-112.4551552,34.58738389
1371,Independent,#FF5733 ,25,203,4025000203,-112.4848862,34.7099005
920,Independent,#FF5733 ,25,1002,4025001002,-112.5849161,34.56844076
1325,Independent,#FF5733 ,25,300,4025000300,-112.4450613,34.6268226
852,Independent,#FF5733 ,25,1602,4025001602,-111.6651725,34.5758168
1357,Independent,#FF5733 ,25,1802,4025001802,-111.925937,34.89344427
1435,Independent,#FF5733 ,25,607,4025000607,-112.3138676,34.5595739
868,Independent,#FF5733 ,5,1600,4005001600,-111.7465008,34.90052779
952,Independent,#FF5733 ,25,801,4025000801,-112.4656365,34.52356142
1004,Independent,#FF5733 ,13,618500,4013618500,-112.1248723,33.64358897
2138,Independent,#FF5733 ,13,612300,4013612300,-112.0867673,33.71595713
1089,Independent,#FF5733 ,13,619400,4013619400,-112.0395291,33.64407865
449,Independent,#FF5733 ,13,103305,4013103305,-112.0254119,33.63689818
1045,Independent,#FF5733 ,13,619300,4013619300,-112.0395987,33.65134885
680,Independent,#FF5733 ,13,103304,4013103304,-112.016688,33.63345386
1174,Independent,#FF5733 ,13,619200,4013619200,-112.0547014,33.64398337
995,Independent,#FF5733 ,13,103608,4013103608,-112.1078795,33.63262577
1060,Independent,#FF5733 ,13,614900,4013614900,-112.0483348,33.67754123
1202,Independent,#FF5733 ,13,103701,4013103701,-112.0471873,33.60609072
1243,Independent,#FF5733 ,13,616900,4013616900,-112.0392348,33.66255049
520,Independent,#FF5733 ,13,616300,4013616300,-112.1432519,33.66211821
1392,Independent,#FF5733 ,13,616700,4013616700,-112.0742002,33.66172564
1473,Independent,#FF5733 ,13,616800,4013616800,-112.0570746,33.66191076
1059,Independent,#FF5733 ,13,616500,4013616500,-112.1067463,33.66160586
980,Independent,#FF5733 ,13,618400,4013618400,-112.1245354,33.6510443
1315,Independent,#FF5733 ,13,103605,4013103605,-112.0818954,33.61697943
1398,Independent,#FF5733 ,13,616600,4013616600,-112.0913975,33.66192006
1573,Independent,#FF5733 ,13,617000,4013617000,-112.0224747,33.6665053
713,Independent,#FF5733 ,13,618700,4013618700,-112.0912816,33.65103647
627,Independent,#FF5733 ,13,103306,4013103306,-112.0253133,33.62981666
1100,Independent,#FF5733 ,13,104226,4013104226,-112.1425101,33.63232039
1761,Independent,#FF5733 ,13,614600,4013614600,-112.1236581,33.67641398
1253,Independent,#FF5733 ,13,103612,4013103612,-112.0758193,33.63001723
736,Independent,#FF5733 ,13,103614,4013103614,-112.0854374,33.60521975
1003,Independent,#FF5733 ,13,614800,4013614800,-112.0866239,33.67273107
1492,Independent,#FF5733 ,13,103502,4013103502,-112.0255743,33.60624123
1719,Independent,#FF5733 ,13,104100,4013104100,-112.1251214,33.61804598
1086,Independent,#FF5733 ,13,104207,4013104207,-112.1249043,33.63263088
916,Independent,#FF5733 ,13,618200,4013618200,-112.143182,33.6509826
661,Independent,#FF5733 ,13,617200,4013617200,-112.0072161,33.65883283
2098,Independent,#FF5733 ,13,612400,4013612400,-112.0291493,33.75397004
